time,tot_INT,tot_IE,tot_IMS,tot_reduced,num_INT,num_IE,num_IMS,num_INT_IE,num_INT_IMS,num_IE_IMS
0.0,957.914895741858,2851.1176735632603,700.8313658828516,17.966322940399014,1385,2363,362,174,1,0
0.0,867.6156059417896,2943.4680936781006,701.6055180032632,0.0,1381,2543,362,5,1,0
0.0,868.8082199377204,2942.27547968217,701.6055180032632,0.0,1381,2543,362,5,1,0
0.0,889.96316934999,2920.1043891676854,701.6055180032632,1.0161411022120703,1381,2541,362,7,1,0
0.0,912.9875597628061,2881.248103765537,701.6055180032632,16.84803609154287,1389,2473,362,67,1,0
0.0,865.4209977470665,2889.0321858921366,696.0632036874815,0.0,1381,2543,362,5,1,0
1.0,911.576843010625,2842.876340628579,696.0632036874815,0.0,1381,2543,362,5,1,0
2.0,886.867574457204,2779.125601166834,696.0632036874815,88.46000801516297,1388,2433,362,108,1,0
3.0,832.604101111541,2717.8803879003904,696.0632036874815,203.96869462727048,1377,2363,362,176,1,0
4.0,784.9892490322815,2645.641897414963,695.3006557636951,324.5845851157462,1303,2301,362,234,1,0
5.0,900.8006811643492,2586.974311335368,693.867305011399,268.88246557179014,1115,2155,360,374,3,0
6.0,988.9136933371584,2529.6616587569015,693.2797440175173,237.5626855296752,1206,2096,357,427,6,0
7.0,1056.0088023191636,2462.276085705511,693.2797440175173,235.3047085167512,1242,2058,356,458,7,0
8.0,1100.2956168966202,2412.4215442494715,692.4342159393476,236.7437601413149,1272,2011,356,499,7,0
9.0,1165.0523249847975,2336.297217759069,692.4342159393476,242.14059997520485,1300,1978,354,529,9,0
10.0,1271.330017918039,2241.2488844962213,691.8782516478954,216.68998763328167,1314,1890,354,604,9,0
11.0,1369.6621317757786,2155.150911080103,690.7978858629606,192.62631038142783,1342,1868,355,621,8,0
0.0,828.7467009704724,2915.9806012505173,698.2693911603118,0.0,1382,2543,362,4,1,0
0.0,857.4893952841086,2942.8304775954084,701.2326738968483,0.0,1381,2543,362,5,1,0
0.0,855.4413098825023,2938.007516104005,708.7116312918171,0.0,1381,2543,362,5,1,0
0.0,851.6827716726906,2899.327655220401,704.6875278305583,0.0,1381,2543,362,5,1,0
0.0,861.369462468065,2945.2394250910406,698.4321830780106,0.0,1381,2543,362,5,1,0
1.0,914.8179562093101,2891.7909313497967,698.4321830780106,0.0,1381,2543,362,5,1,0
2.0,917.7582199909074,2809.746494363107,698.4321830780106,79.10417320509283,1407,2369,362,153,1,0
3.0,874.8086593240519,2734.358864849578,698.4321830780106,197.44136338547005,1396,2264,362,250,1,0
4.0,829.2497370502942,2656.1696085607105,698.1176974332203,321.5040275928817,1322,2141,362,365,1,0
5.0,950.3991698228763,2574.1547001477693,698.1176974332203,281.5092063098477,1139,1992,361,494,2,0
0.0,871.6695465735448,2923.8951138138364,695.4787949518418,0.0,1381,2543,362,5,1,0
1.0,914.6263273242859,2880.938333063095,695.4787949518418,0.0,1381,2543,362,5,1,0
2.0,892.4154827783647,2817.026886125826,695.4787949518418,86.12229148318737,1382,2462,362,85,1,0
3.0,845.951314690923,2742.3746741714212,695.4787949518418,207.23867152503186,1375,2329,362,210,1,0
4.0,795.6311442790247,2669.247920461974,695.0888428173573,331.0755477808625,1294,2206,362,329,1,0
0.0,862.0386029417105,2921.511010637788,692.8028895386808,0.0,1381,2543,362,5,1,0
1.0,906.17647360729,2877.3731399722096,692.8028895386808,0.0,1381,2543,362,5,1,0
2.0,899.276609023698,2800.3227921188986,692.8028895386808,83.95021243690333,1382,2463,362,84,1,0
3.0,879.4370708827968,2719.459399701612,692.8028895386808,184.65314299509006,1406,2222,362,286,1,0
4.0,826.5675306479867,2653.642551648626,692.8028895386808,303.3395312828855,1351,2127,362,373,1,0
0.0,850.6904615139254,2943.216922798611,697.4659595426068,0.0,1381,2543,362,5,1,0
1.0,896.1376290885346,2897.7697552239993,697.4659595426068,0.0,1381,2543,362,5,1,0
2.0,878.3577127849964,2829.436578605958,697.4659595426068,86.11309292157614,1408,2397,362,124,1,0
3.0,849.2648273934672,2747.7698959717554,697.4659595426068,196.87266094730577,1395,2321,362,190,1,0
4.0,802.449602397951,2671.151527014944,696.1995014193006,321.5727130229399,1321,2206,362,298,1,0
4.0,802.309236471102,2671.151527014944,696.1995014193006,321.71307894978867,1157,2096,359,403,4,0
4.0,802.602746878537,2670.855728629636,696.1995014193006,321.71536692766165,1157,2096,359,403,4,0
0.0,859.2737807112476,2936.923953684468,694.7461823337624,0.0,1382,2543,362,4,1,0
1.0,901.0300851003713,2895.1676492953416,694.7461823337624,0.0,1382,2543,362,4,1,0
2.0,875.0538611404904,2830.0797491342782,694.7461823337624,91.06412412094431,1382,2468,362,79,1,0
3.0,838.4122429587796,2761.9426599424633,694.7461823337624,195.84283149446668,1360,2382,362,164,1,0
4.0,793.4078143964056,2687.58911936073,693.9693741335725,315.97760883876504,1295,2296,362,249,1,0
0.0,841.5297090119622,2933.3449522756637,694.8780803481079,0.0,1381,2543,362,5,1,0
1.0,888.9025517583199,2885.9721095293035,694.8780803481079,0.0,1381,2543,362,5,1,0
2.0,873.2772626122932,2815.8193869369397,694.8780803481079,85.77801173839272,1381,2447,362,101,1,0
3.0,838.7079496041976,2739.857519785492,694.8780803481079,196.3091918979357,1359,2368,362,178,1,0
4.0,787.2357278573191,2669.6914614940506,694.8780803481079,317.9474719362549,1289,2227,362,314,1,0
0.0,842.1150003842741,2910.2668587081757,700.5233891106163,0.0,1381,2543,362,5,1,0
1.0,894.6686069229648,2857.7132521694834,700.5233891106163,0.0,1381,2543,362,5,1,0
2.0,885.7623072396074,2783.591510409878,700.5233891106163,83.02804144296546,1389,2403,362,137,1,0
3.0,857.8825196304853,2707.5203405627026,700.5233891106163,186.97899889926094,1379,2256,362,270,1,0
4.0,824.1462014219628,2630.343521919137,698.7679967722391,299.6475280897246,1298,2183,362,334,1,0
4.0,825.2166598606761,2629.273063480424,698.7679967722391,299.6475280897246,1119,2090,358,424,5,0
4.0,825.4012707305319,2628.576218752919,698.7679967722391,300.1597619473736,1119,2090,358,424,5,0
0.0,857.5461789217583,2936.1050176064073,699.7156614420874,0.0,1381,2543,362,5,1,0
1.0,911.9192492053072,2882.084256200576,699.3633525643666,0.0,1381,2543,362,5,1,0
2.0,901.6544269461887,2802.54673037484,699.3633525643666,89.80234808485095,1399,2380,362,150,1,0
3.0,875.6048952539579,2712.7924404181217,699.3633525643666,205.60616973379774,1393,2274,362,248,1,0
4.0,829.7737227481081,2636.2074470308266,698.577408916883,328.80827927442925,1318,2186,362,328,1,0
0.0,863.256900537104,2928.4221696165814,700.1681855627913,0.0,1381,2543,362,5,1,0
1.0,912.5184536549262,2879.1606164987606,700.1681855627913,0.0,1381,2543,362,5,1,0
2.0,903.1488303797664,2804.278970742057,700.1681855627913,84.25126903186539,1409,2371,362,149,1,0
3.0,877.5033453605981,2725.013926082057,700.1681855627913,189.16179871103373,1396,2277,362,233,1,0
4.0,821.4992011323419,2658.4794156775647,700.1681855627913,311.70045334378216,1318,2196,362,306,1,0
0.0,861.3685113118621,2888.9177873219346,701.1754666874226,0.0,1381,2543,362,5,1,0
1.0,910.8672372739355,2839.419061359861,701.1754666874226,0.0,1381,2543,362,5,1,0
2.0,907.0339638013024,2762.125568610345,701.1754666874226,81.12676622214867,1401,2384,362,144,1,0
3.0,868.2805945469859,2686.3730159020606,701.1754666874226,195.63268818474398,1401,2296,362,219,1,0
4.0,827.9584409035614,2608.0491697643834,700.3500696311836,315.10408502208594,1343,2156,362,346,1,0
0.0,847.989467921752,2902.942194737997,701.7417596877034,0.0,1381,2543,362,5,1,0
1.0,900.7150941535423,2850.2165685062078,701.7417596877034,0.0,1381,2543,362,5,1,0
2.0,875.7087954990621,2785.2678183464127,701.7417596877034,89.95504881427163,1385,2425,362,119,1,0
3.0,837.7572095655476,2708.976664762898,701.7417596877034,204.19778833130104,1367,2320,362,219,1,0
4.0,809.2475970125588,2626.0044526305524,701.3869973102295,316.034375394109,1313,2128,362,377,1,0
0.0,865.7122080094733,2907.605173868205,697.6870284083244,0.0,1381,2543,362,5,1,0
1.0,908.2096636739578,2865.1077182037225,697.6870284083244,0.0,1381,2543,362,5,1,0
2.0,886.2798756250832,2799.7468102481685,697.6870284083244,87.29069600442875,1383,2454,362,92,1,0
3.0,850.7034702293785,2724.9669023274123,697.6870284083244,197.64700932088994,1374,2317,362,224,1,0
4.0,815.1875957468906,2648.841085790874,697.3679599073738,309.60776884086556,1306,2234,362,298,1,0
0.0,860.5669873141693,2940.191704483603,691.9723695138217,0.0,1382,2543,362,4,1,0
1.0,906.9460103001619,2893.812681497609,691.9723695138217,0.0,1382,2543,362,4,1,0
2.0,892.7295874871817,2820.6548457501044,691.9723695138217,87.37425856048083,1382,2460,362,87,1,0
3.0,858.2737712215687,2745.6289950538603,691.5952416415429,197.23305339461302,1361,2342,362,202,1,0
4.0,804.5164979451582,2685.865790985563,691.5952416415429,310.7535307393212,1288,2203,362,334,1,0
0.0,846.2852020407996,2919.654559530006,699.0693896555047,0.0,1381,2543,362,5,1,0
1.0,897.9421407895151,2867.9976207812874,699.0693896555047,0.0,1381,2543,362,5,1,0
